count	tag	chosen	via	mt_rendering	candidates (wording|back-translation|f1|src)	flag
14754	1girl	1个女性	kb	1个女性	1个女性|1 female|0.0|kb ; 1个女孩|1 girl|0.0|kb ; 武装少女|Armed Girl|0.0|wiki ; 1女孩|1 girl|0.0|kbmt	
10634	blush	脸红	kb_verified	脸红	脸红|Blushing|1.0|kb ; 脸红的|blushing|1.0|kb ; 赤面|Blush|1.0|wiki	
10429	explicit	露骨性描写	rating			NO_PACK
9536	long hair	长发	kb_verified	长发	长发|long hair|1.0|kb ; 长髪|Long hair|1.0|wiki ; 长髪化|Long hair transformation|0.8|wiki	
7670	looking at viewer	看向阅图者	kb_verified	注视着观看者	看向阅图者|Looking at the viewer|1.0|kb ; 看着你|Looking at you|0.5|kb ; 看向观众|Look at the audience|0.5|wiki ; 注视着观看者|Staring at the viewer|0.5|mt ; 目光接触|Eye contact|0.0|kbmt	
7264	nipples	乳头	kb	乳头	乳头|nipple|0.0|kb ; 乳首|nipple|0.0|wiki	
7085	1boy	1个男性	kb	1个男性	1个男性|1 male|0.0|kb ; 1个男孩|1 boy|0.0|kb ; 男|Man|0.0|wiki ; 1男单男|1 Men's Singles Men|0.0|kbmt	
6442	censored	打码的	kb	打码	打码的|Redacted|0.0|kb ; 审核过的/有码|Reviewed/with code|0.0|kb ; 打码|Redacted|0.0|mt ; 审查审查|Review review|0.0|kbmt	
6407	hetero	异性恋	kb	异性恋	异性恋|heterosexual|0.0|kb ; 男女|Men and women|0.0|wiki ; 男女CP|Male and female couple|0.0|wiki ; 异类|Outcast|0.0|kbmt	
6358	open mouth	张嘴的	kb_verified	张嘴	张嘴的|Open-mouthed|1.0|kb ; 张嘴|Open your mouth|0.8|mt ; 张开嘴|Open your mouth|0.8|kbmt ; 开口|opening|0.667|wiki	
6258	solo	单人	kb_verified	单人	单人|Solo|1.0|kb ; 单独人物|Single figure|0.0|kb	
6111	large breasts	巨乳	kb_verified	巨乳	巨乳|Big breasts|0.5|kb ; 豊乳|Big breasts|0.5|wiki ; 大乳房|Big breasts|0.5|kbmt ; 大胸部|Big breasts|0.5|kbmt ; 美巨乳|American giant boobs|0.0|wiki	
6041	navel	肚脐	kb_verified	肚脐	肚脐|navel|1.0|kb ; 脐|navel|1.0|wiki	
5460	penis	阴茎	kb_verified	阴茎	阴茎|penis|1.0|kb ; 男根|penis|1.0|wiki ; 鸡巴|penis|1.0|kbmt ; 公鸡|rooster|0.0|kbmt	
4919	pussy	小穴	kb	私处	小穴|Small hole|0.0|kb ; 女阴|vulva|0.0|wiki ; 外阴|vulva|0.0|kbmt ; 阴道|vagina|0.0|kbmt ; 私处|private parts|0.0|mt	
4430	sex	性交	kb	性别	性爱|Sex|1.0|wiki ; 性交|sexual intercourse|0.0|kb ; 性行为|Sexual activity|0.0|wiki ; 性别|Gender|0.0|mt ; 他妈的他妈的|Damn fucking|0.0|kbmt	PACK_UNVERIFIED_RIVAL
4220	sweat	汗水	kb_verified	汗水	汗水|Sweat|1.0|kb ; 汗|sweat|1.0|wiki ; 汗液|Sweat|1.0|wiki ; 出汗|Sweating|1.0|kbmt	
4211	black hair	黑发	kb_verified	黑发	黑发|Black hair|1.0|kb ; 黑色头发|Black hair|1.0|wiki ; 黑发赤眼|Black hair, red eyes|0.667|wiki	
4126	smile	微笑	kb_verified	微笑	微笑|Smile|1.0|kb ; 笑容|Smile|1.0|kb ; 笑|Laugh|0.0|wiki	
4070	ass	屁股	kb	臀部	屁股|butt|0.0|kb ; 尻|buttock|0.0|wiki ; 尻神|Buttock God|0.0|wiki ; 脸颊|cheek|0.0|kbmt ; 臀部|buttocks|0.0|kbmt	
3651	underwear	内衣	kb_verified	内衣	内衣|underwear|1.0|kb ; 下着|Underwear|1.0|wiki ; 肌着|Underwear|1.0|wiki	
3571	simple background	朴素的背景	kb_verified	简单背景	朴素的背景|Simple background|1.0|kb ; 简单背景|Simple background|1.0|mt ; 简单的背景|Simple background|1.0|kbmt	
3556	breasts	乳房	kb_verified	乳房	乳房|Breast|1.0|kb ; 胸|chest|0.0|wiki ; 乳|milk|0.0|wiki ; 胸部|Chest|0.0|kbmt ; 呼吸|Breathing|0.0|kbmt	
3544	thighs	大腿	kb_verified	大腿	大腿|thigh|1.0|kb ; 太股|thigh|1.0|wiki ; 腿|leg|0.0|wiki	
3523	small breasts	贫乳	kb_verified	小乳	贫乳|Small breasts|1.0|kb ; 娇小的乳房|Small breasts|1.0|kb ; 小乳|small breast|1.0|mt ; 娇小的乳房(B)|Small breasts (B)|0.8|kb	
3404	blue eyes	蓝眼	kb_verified	蓝眼睛	蓝眼|Blue eyes|1.0|kb ; 蓝眼睛|Blue eyes|1.0|kb ; 蓝眼睛浅蓝色的眼睛|Blue eyes, light blue eyes|0.8|kbmt ; 金发碧眼|Blonde and blue-eyed|0.4|wiki	
3351	hair ornament	发饰	kb_verified	发饰	发饰|Hair accessory|0.5|kb ; 头饰|Headdress|0.0|wiki	
3320	short hair	短发	kb_verified	短发	短发|Short hair|1.0|kb ; 短髪|Short hair|1.0|wiki ; 短毛短毛猫|Short-haired cat|0.8|kbmt	
3137	sensitive	微涩	rating			NO_PACK
3127	nsfw	成人向	rating			NO_PACK
3057	white background	白色背景	kb_verified	纯白背景	白色背景|White background|1.0|kb ; 白背景|White background|1.0|wiki ; 纯白背景|Pure white background|0.8|mt	
3023	bar censor	黑条打码	kb	打码栏	审查员酒吧审查员酒吧|Censor Bar Censor Bar|1.0|kbmt ; 条形打码|Bar coding|0.5|wiki ; 打码栏|Masking bar|0.5|mt ; 黑条(打码)|Black bar (redacted)|0.4|wiki ; 黑条打码|Black strip masking|0.0|kb	PACK_UNVERIFIED_RIVAL
3010	lying	躺着的	kb_verified	躺着	躺着的|Lying down|0.667|kb ; 横卧|Lying horizontally|0.667|wiki ; 躺着|Lying down|0.667|kbmt ; 卧|lie down|0.0|wiki	
2944	solo focus	单人特写	mt_unverified	单人特写	单焦点|Single focus|0.5|kbmt ; 以单独人物为焦点|Focusing on a single individual|0.0|kb ; 单人特写|Single-person close-up|0.0|mt	DEVIATES_FROM_PACK
2899	brown hair	棕发	kb_verified	棕发	棕发|brown hair|1.0|kb ; 棕色头发|Brown hair|1.0|kb ; 布鲁内特|Brunette|0.0|kbmt	
