count	axis	en	ja_current	via	mt_ja	alts	candidates	flags
100	general	sash	サッシュ	wiki_verified	帯	飾帶	サッシュ(wiki)|帯(mt)	
100	general	loafers	ローファー	mt_verified	ローファー		ローファー(wiki)	
100	general	white flower	白い花	mt_verified	白い花		白い花(tagpair)	
99	general	partially submerged	半分水に浸かっている	mt_unverified	半分水に浸かっている		半分水に浸かっている(mt)|浅瀬にいる(tagpair)|腰まで水に浸かる(tagpair)	sentence-like;mt_unverified
99	general	red skirt	赤いスカート	mt_verified	赤いスカート		赤いスカート(wiki)	
99	general	reverse suspended congress	議会停止逆転	mt_unverified	議会停止逆転	駅弁|逆駅弁|背面駅弁	逆駅弁(wiki)|アナル固め(wiki)|議会停止逆転(mt)|駅弁(wiki)	han-outside-inventory;mt_unverified
98	general	muscular	筋肉質	mt_verified	筋肉質	蹴られたくない剛脚|筋肉|筋肉質	筋肉質(tagpair)|玉つき筋肉ショタ(wiki)|蹴られたくない剛脚(wiki)|筋肉(wiki)	han-outside-inventory
98	general	hair over shoulder	肩にかけた髪	tagpair_verified	肩までの髪		肩にかけた髪(tagpair)|肩にかかる髪(tagpair)|肩までの髪(mt)	
98	general	projectile cum	飛び散る精液	mt_unverified	飛び散る精液	射精中	飛び散る精液(mt)|精液流(wiki)|射精中(wiki)	mt_unverified
97	general	white apron	白いエプロン	mt_verified	白いエプロン		白いエプロン(tagpair)|白いエプロンドレス(tagpair)	
97	general	erection under clothes	服の下の勃起	mt_verified	服の下の勃起	ふたなりテント	服の下の勃起(mt)|テントを張る(wiki)|ふたなりテント(wiki)|もっこり(tagpair)	
97	general	bound wrists	縛られた手首	mt_verified	縛られた手首	手枷	縛られた手首(mt)|手かせ(wiki)|手枷(wiki)	
97	general	eyes visible through hair	髪越しに見える目	tagpair_verified	髪の間から見える目		髪越しに見える目(tagpair)|髪の間から見える目(mt)|髪越しの目(tagpair)	
97	general	armlet	腕輪	mt_unverified	腕輪		アームレット(wiki)|腕輪(mt)	mt_unverified
97	general	makeup	メイク	mt_verified	メイク	化粧	メイク(wiki)|化粧(wiki)	
96	general	squatting cowgirl position	スクワットカウガールポーズ	mt_unverified	スクワットカウガールポーズ	M字騎乗位	スパイダー騎乗位(wiki)|スクワットカウガールポーズ(mt)|M字騎乗位(wiki)	sentence-like;mt_unverified
96	general	purple nails	紫の爪	tagpair_verified	紫色のネイル		紫の爪(tagpair)|紫のネイル(tagpair)|紫色のネイル(mt)|紫色指甲(wiki)	
96	general	plant	植物	mt_verified	植物	植物姦	植物(wiki)|植物姦(wiki)	
96	general	frilled bikini	フリル付きビキニ	mt_unverified	フリル付きビキニ	フレアビキニ	フリルビキニ(wiki)|フレアビキニ(wiki)|フリル付きビキニ(mt)	mt_unverified
95	general	headphones	ヘッドホン	wiki_verified	ヘッドフォン	ヘッドフォン|ヘッドホン娘|ヘッドホン男子	ヘッドホン(wiki)|ヘッドフォン(wiki)|ヘッドホン娘(wiki)	
95	general	on chair	椅子の上	wiki_verified	椅子に座る	椅子	椅子の上(wiki)|椅子(wiki)|椅子に座る(mt)	
95	general	short dress	ショートドレス	mt_verified	ショートドレス	ミニチャイナ|ショートドレス	ショートドレス(wiki)|ミニドレス(wiki)|ミニチャイナ(wiki)	
95	general	upskirt	スカートの中	mt_unverified	スカートの中		逆さ撮り(wiki)|スカートの中(mt)	mt_unverified
95	general	signature	シグネチャー	mt_verified	シグネチャー	サイン入り	シグネチャー(mt)|サイン(wiki)|サイン入り(wiki)	
95	general	strapless leotard	肩紐なしのレオタード	tagpair_verified	ストラップレスのレオタード		肩紐なしのレオタード(tagpair)|ストラップレスレオタード(tagpair)|ストラップレスのレオタード(mt)	
95	general	cum on clothes	服に精液をかける	mt_unverified	服に精液をかける	着衣|衣服上的精液	衣服上的精液(wiki)|服に精液をかける(mt)|着衣ぶっかけ(wiki)|着衣(wiki)	mt_unverified
95	general	white hairband	白のヘアバンド	tagpair_verified	白い髪帯		白のヘアバンド(tagpair)|白いヘアバンド(tagpair)|白い髪帯(mt)	
94	character	kisaki (blue archive)	竜華キサキ	wikidata		キサキ|黒い君主|キサキ(ブルーアーカイブ)|妃咲		
94	general	black one-piece swimsuit	黒のワンピース水着	tagpair_verified	黒いワンピース水着		黒のワンピース水着(tagpair)|黒のワンピーススイムウェア(tagpair)|黒いワンピース水着(mt)	
94	general	knee up	膝を上げる	mt_unverified	膝を上げる		膝を上げる(mt)	mt_unverified
94	general	competition swimsuit	水着競技用	mt_verified	水着競技用	競水艦娘	水着競技用(mt)|競泳水着(wiki)|競水艦娘(wiki)	han-outside-inventory
94	general	hoodie	フーディー	mt_verified	フーディー	制服パーカー|動物パーカー|アニマルパーカー	フーディー(mt)|制服パーカー(wiki)|パーカー(wiki)|動物パーカー(wiki)	
94	general	twitching	ピクつく	mt_unverified	ピクつく		ピクつく(mt)	mt_unverified
93	general	id card	身分証明書	mt_verified	身分証明書	身分証|社員証|職員証	身分証明書(mt)|身分証(wiki)|学生証(wiki)	
93	general	fake horns	偽の角	mt_verified	偽の角		偽の角(tagpair)|フェイク角(tagpair)	
93	general	messy hair	乱れた髪	mt_unverified	乱れた髪	ボサ髪|寝ぐせ|ボサボサ|モジャモジャ	ボサボサ(tagpair)|くせ毛(wiki)|乱れた髪(mt)|ボサ髪(wiki)|寝ぐせ(wiki)	mt_unverified
93	general	arm behind head	頭の後ろで腕を組む	mt_unverified	頭の後ろで腕を組む		腕を頭の後ろに組む(tagpair)|頭の後ろで腕を組む(mt)|腕を頭の後ろに(tagpair)	mt_unverified
93	general	grabbing another's arm	他人の腕を掴む	mt_unverified	他人の腕を掴む	腕掴み正常位|腕掴みバック	腕掴み(wiki)|他人の腕を掴む(mt)|腕掴み正常位(wiki)|腕掴みバック(wiki)	mt_unverified
93	general	pet play	ペットプレイ	mt_verified	ペットプレイ	ペットプレイ	ペットプレイ(wiki)|ヒトイヌ(wiki)	
93	copyright	umamusume	ウマ娘	wiki		ウマ娘化|水着ウマ娘|和装ウマ娘|浴衣ウマ娘		
93	general	gym uniform	体操服	wiki_verified	体育服	体操服|体操着|体育着	体操服(wiki)|体操着(wiki)|襟付きジップアップ体操服(wiki)|体育服(mt)	
92	general	fox tail	狐の尾	tagpair_verified	キツネの尾		狐の尾(tagpair)|狐の尾っぽ(tagpair)|キツネの尾(mt)|狐尻尾(wiki)	
92	general	school desk	学校の机	mt_verified	学校の机	生徒用机|机(学校)	学校の机(mt)|学校机(wiki)|机(学校)(wiki)|生徒用机(wiki)|机(tagpair)	
92	general	denim shorts	ショートデニム	wiki_verified	デニムショートパンツ	ショートデニム|ショーツデニム	ショートデニム(wiki)|ショーツデニム(wiki)|デニムショートパンツ(mt)|デニムパンツ(wiki)	
92	general	brown pantyhose	茶色のストッキング	mt_unverified	茶色のストッキング		茶色のパンスト(tagpair)|茶色のストッキング(mt)	mt_unverified
92	general	bathroom	バスルーム	mt_verified	バスルーム		バスルーム(mt)|洗面所(wiki)	
92	character	iino miko	伊井野ミコ	wikidata				
92	general	eyebrows	眉	mt_verified	眉		眉(mt)|眉毛(wiki)	han-outside-inventory
92	copyright	sono bisque doll wa koi wo suru	着せ恋	wiki		その着せ替え人形は恋をする		
92	general	front-tie top	フロントタイトップ	tagpair_verified	前結びのトップス		フロントタイトップ(tagpair)|前結びトップス(tagpair)|前結びのトップス(mt)	
92	general	cum pool	精液プール	mt_unverified	精液プール		精液プール(tagpair)|精液溜まり(tagpair)	mt_unverified
91	general	paw gloves	手袋	mt_unverified	手袋	肉球手袋	手袋(mt)|猫の手グローブ(wiki)|肉球手袋(wiki)	mt_unverified
91	general	black collar	黒い襟	mt_verified	黒い襟		黒い襟(tagpair)|黒襟(tagpair)	
91	general	thighband pantyhose	ニーバンドストッキング	mt_unverified	ニーバンドストッキング		ランガード(wiki)|ニーバンドストッキング(mt)	mt_unverified
91	general	cropped legs	脚を切り取った画像	mt_unverified	脚を切り取った画像		脚を切り取った画像(mt)	mt_unverified
91	general	fangs	牙	mt_unverified	牙	虎牙|八重歯	牙(wiki)|虎牙(wiki)|八重歯(wiki)	mt_unverified
91	general	vaginal object insertion	膣内挿入	tagpair_verified	膣内挿入物		膣内挿入(tagpair)|膣内挿入物(tagpair)	
91	general	patreon username	Patreonのユーザー名	mt_verified	Patreonのユーザー名		Patreonのユーザー名(mt)|パトロン名(tagpair)	sentence-like
90	general	antenna hair	アンテナヘア	mt_verified	アンテナヘア	触角|触角娘	アンテナヘア(mt)|アホ毛(wiki)|触角(wiki)|触角娘(wiki)	
90	general	blouse	ブラウス	mt_verified	ブラウス		ブラウス(wiki)	
90	general	sweater lift	セーター持ち上げ	mt_verified	セーター持ち上げ		セーター持ち上げ(tagpair)|セーター引き上げ(tagpair)	
90	general	crossed legs	脚を組む	mt_unverified	脚を組む	タイツ足組み	タイツ足組み(wiki)|脚を組む(mt)|足組み(wiki)	mt_unverified
90	general	mole under mouth	口元のほくろ	mt_unverified	口元のほくろ		口元のほくろ(mt)|艶ぼくろ(wiki)	mt_unverified
90	general	slit pupils	細長い瞳	mt_unverified	細長い瞳	猫目|猫瞳	猫瞳(wiki)|ネコ目(wiki)|細長い瞳(mt)|猫目(wiki)	mt_unverified
90	general	shark girl	サメ娘	wiki_verified	サメ女の子1人	サメ女|鮫娘|鮫女	サメ娘(wiki)|サメ女の子1人(mt)|鮫娘(wiki)|サメ女(wiki)|マーシャーク(tagpair)	
90	character	frieren	フリーレン	wiki				
89	general	interlocked fingers	指と指を絡め合わせた状態	mt_unverified	指と指を絡め合わせた状態	ラブ握り|手指交叉	指と指を絡め合わせた状態(mt)|手指交叉(wiki)|手と手(wiki)|ラブ握り(wiki)	sentence-like;mt_unverified
89	general	pool	プール	mt_verified	プール	ナイトプール|泳池	プール(wiki)|ナイトプール(wiki)|泳池(wiki)	
89	general	lips	唇	mt_verified	唇		唇(wiki)	han-outside-inventory
89	general	official alternate hairstyle	公式別バージョンの髪型	mt_unverified	公式別バージョンの髪型		セカンドヘアスタイル(wiki)|公式別バージョンの髪型(mt)	mt_unverified
89	general	horse girl	馬娘	mt_verified	馬娘	ウマ娘化|馬娘	馬娘(wiki)|ウマ娘(wiki)|ウマ娘化(wiki)	
88	general	unworn skirt	着用されていないスカート	mt_verified	着用されていないスカート		着用されていないスカート(mt)	sentence-like
88	general	median furrow	額のしわ	mt_unverified	額のしわ		額のしわ(mt)	mt_unverified
88	general	stud earrings	スタッドピアス	tagpair_verified	ピアス		スタッドピアス(tagpair)|スタッドイヤリング(tagpair)|ピアス(mt)	
88	general	red neckerchief	赤いネッカチーフ	tagpair_verified	赤いスカーフ		赤いネッカチーフ(tagpair)|赤い首飾り(tagpair)|赤いスカーフ(mt)	
88	general	pink bikini	ピンクビキニ	wiki_verified	ピンクのビキニ		ピンクビキニ(wiki)|ピンクのビキニ(mt)	
88	copyright	yahari ore no seishun lovecome wa machigatteiru.	はまち	wiki		俺ガイル|やはり俺の青春ラブコメは間違っている|やはり俺の青春ラブコメはまちがっている|やはり俺の青春ラブコメはまちがっている。		
88	copyright	tokidoki bosotto roshia-go de dereru tonari no alya-san	ロシデレ	wiki		時々ボソッとロシア語でデレる隣のアーリャさん		
88	general	inverted nipples	逆向きの乳首	mt_unverified	逆向きの乳首	陥没乳頭	逆向きの乳首(mt)	mt_unverified
88	general	web address	ウェブアドレス	mt_verified	ウェブアドレス		ウェブアドレス(tagpair)|ウェブサイトアドレス(tagpair)	
87	general	backlighting	バックライト	mt_verified	バックライト	背光	バックライト(mt)|逆光(wiki)|背光(wiki)	
87	general	belt collar	ベルトカラー	mt_verified	ベルトカラー		ベルトカラー(tagpair)|ベルト型首輪(tagpair)	
87	general	ear blush	耳の赤み	mt_unverified	耳の赤み		耳が赤くなる(tagpair)|耳の赤み(mt)|耳赤(tagpair)	mt_unverified
87	general	crotch seam	股間の縫い目	mt_unverified	股間の縫い目		センターシーム(wiki)|股間の縫い目(mt)	mt_unverified
87	general	wrist scrunchie	手首用ヘアゴム	mt_unverified	手首用ヘアゴム		手首用ヘアゴム(mt)	mt_unverified
87	general	empty eyes	虚ろ目	wiki_verified	虚ろな目	ベタ目|レイプ目|マグロ目|目が死んでる	虚ろ目(wiki)|虚ろな目(mt)|目が死んでる(tagpair)|ベタ目(wiki)|レイプ目(wiki)	
87	general	horse ears	馬の耳	mt_unverified	馬の耳		馬の耳(mt)|馬耳(wiki)	mt_unverified
87	general	impregnation	妊娠	mt_unverified	妊娠	受孕	受精(wiki)|受孕(wiki)	han-outside-inventory;mt_unverified
86	general	peeing	おしっこ	mt_unverified	おしっこ	お漏らし|おもらし|オシッコ|野ション	おしっこ(wiki)|お漏らし(wiki)|おもらし(wiki)	mt_unverified
86	general	between legs	足の間	tagpair_verified	脚の間		足の間(tagpair)|脚の間(mt)|足の間にあるもの(tagpair)	
86	general	holding unworn clothes	着ていない服を持っている	mt_unverified	着ていない服を持っている		衣服を持っている(tagpair)|未着用の服を持っている(tagpair)|着ていない服を持っている(mt)	sentence-like;mt_unverified
86	general	holding cup	カップを持つ	mt_verified	カップを持つ		カップを持つ(tagpair)|カップを持つ人(tagpair)	
86	general	stuffed toy	ぬいぐるみ	mt_unverified	ぬいぐるみ	ぬいぐるみオナニー	ぬいぐるみ(wiki)|ぬいぐるみオナニー(wiki)	mt_unverified
86	character	tacet mark (wuthering waves)	声痕	wiki_han				
86	general	unworn clothes	未着用の服	mt_verified	未着用の服	衣服標本|没穿的衣服|脱下的衣服|散落的衣服	未着用の服(mt)|衣服標本(wiki)|脱いだ服(wiki)|没穿的衣服(wiki)|脱下的衣服(tagpair)	
86	copyright	ore no imouto ga konna ni kawaii wake ga nai	俺の妹	wiki		俺の妹がこんなに可愛いわけがない|俺の妹がこんなに可愛いわけがない。		
86	general	tassel	タッセル	wiki_verified	房飾り	ニップルタッセル	タッセル(wiki)|ニップルタッセル(wiki)|房飾り(mt)	
86	copyright	voiceroid	コッショリ	wiki		ボイスロイド|VOICEROIDドット絵部		
85	general	bow bra	ボウ付きブラ	tagpair_verified	ブラジャー		ボウ付きブラ(tagpair)|ボウ付きブラジャー(tagpair)|ブラジャー(mt)	
